model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,Train,100,0,0.586000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,100,0,0.712159
ProtoNet,1,5,64,4,amazonreview_all_data,val,100,0,0.540997
ProtoNet,1,5,64,4,amazonreview_all_data,Train,200,0,0.744000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,200,0,0.757209
ProtoNet,1,5,64,4,amazonreview_all_data,val,200,0,0.533953
ProtoNet,1,5,64,4,amazonreview_all_data,Train,300,0,0.803200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,300,0,0.799734
ProtoNet,1,5,64,4,amazonreview_all_data,val,300,0,0.517342
ProtoNet,1,5,64,4,amazonreview_all_data,Train,400,0,0.808800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,400,0,0.797209
ProtoNet,1,5,64,4,amazonreview_all_data,val,400,0,0.440532
ProtoNet,1,5,64,4,amazonreview_all_data,Train,500,0,0.836400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,500,0,0.826711
ProtoNet,1,5,64,4,amazonreview_all_data,val,500,0,0.487575
ProtoNet,1,5,64,4,amazonreview_all_data,Train,600,0,0.839200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,600,0,0.826844
ProtoNet,1,5,64,4,amazonreview_all_data,val,600,0,0.473488
ProtoNet,1,5,64,4,amazonreview_all_data,Train,700,0,0.858800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,700,0,0.832425
ProtoNet,1,5,64,4,amazonreview_all_data,val,700,0,0.483189
ProtoNet,1,5,64,4,amazonreview_all_data,Train,800,0,0.880400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,800,0,0.824718
ProtoNet,1,5,64,4,amazonreview_all_data,val,800,0,0.506578
ProtoNet,1,5,64,4,amazonreview_all_data,Train,900,0,0.856400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,900,0,0.832159
ProtoNet,1,5,64,4,amazonreview_all_data,val,900,0,0.512027
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1000,0,0.859600
