model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,Train,100,0,0.378800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,100,0,0.618206
ProtoNet,1,5,64,4,amazonreview_all_data,val,100,0,0.518937
ProtoNet,1,5,64,4,amazonreview_all_data,Train,200,0,0.626000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,200,0,0.666312
ProtoNet,1,5,64,4,amazonreview_all_data,val,200,0,0.458472
ProtoNet,1,5,64,4,amazonreview_all_data,Train,300,0,0.701200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,300,0,0.703389
ProtoNet,1,5,64,4,amazonreview_all_data,val,300,0,0.487043
ProtoNet,1,5,64,4,amazonreview_all_data,Train,400,0,0.708400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,400,0,0.741528
ProtoNet,1,5,64,4,amazonreview_all_data,val,400,0,0.498339
ProtoNet,1,5,64,4,amazonreview_all_data,Train,500,0,0.734000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,500,0,0.744983
ProtoNet,1,5,64,4,amazonreview_all_data,val,500,0,0.483455
ProtoNet,1,5,64,4,amazonreview_all_data,Train,600,0,0.768000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,600,0,0.740332
ProtoNet,1,5,64,4,amazonreview_all_data,val,600,0,0.518804
ProtoNet,1,5,64,4,amazonreview_all_data,Train,700,0,0.785200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,700,0,0.767841
ProtoNet,1,5,64,4,amazonreview_all_data,val,700,0,0.472957
ProtoNet,1,5,64,4,amazonreview_all_data,Train,800,0,0.799600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,800,0,0.773422
ProtoNet,1,5,64,4,amazonreview_all_data,val,800,0,0.521196
ProtoNet,1,5,64,4,amazonreview_all_data,Train,900,0,0.810800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,900,0,0.780465
ProtoNet,1,5,64,4,amazonreview_all_data,val,900,0,0.478140
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1000,0,0.820800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1000,0,0.761196
ProtoNet,1,5,64,4,amazonreview_all_data,val,1000,0,0.518140
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1100,0,0.830800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1100,0,0.778339
ProtoNet,1,5,64,4,amazonreview_all_data,val,1100,0,0.503522
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1200,0,0.854000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1200,0,0.782193
ProtoNet,1,5,64,4,amazonreview_all_data,val,1200,0,0.479867
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1300,0,0.870800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1300,0,0.790831
ProtoNet,1,5,64,4,amazonreview_all_data,val,1300,0,0.489834
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1400,0,0.870000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1400,0,0.798140
ProtoNet,1,5,64,4,amazonreview_all_data,val,1400,0,0.478804
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1500,0,0.890400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1500,0,0.759070
ProtoNet,1,5,64,4,amazonreview_all_data,val,1500,0,0.479070
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1600,0,0.854000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1600,0,0.807043
ProtoNet,1,5,64,4,amazonreview_all_data,val,1600,0,0.495149
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1700,0,0.892400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1700,0,0.800266
ProtoNet,1,5,64,4,amazonreview_all_data,val,1700,0,0.513355
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1800,0,0.901600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1800,0,0.793223
ProtoNet,1,5,64,4,amazonreview_all_data,val,1800,0,0.481462
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1900,0,0.903600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1900,0,0.798937
ProtoNet,1,5,64,4,amazonreview_all_data,val,1900,0,0.465382
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2000,0,0.910400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2000,0,0.806113
ProtoNet,1,5,64,4,amazonreview_all_data,val,2000,0,0.443588
ProtoNet,1,5,64,4,amazonreview_all_data,Train,100,1,0.407600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,100,1,0.611030
ProtoNet,1,5,64,4,amazonreview_all_data,val,100,1,0.534086
ProtoNet,1,5,64,4,amazonreview_all_data,Train,200,1,0.607600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,200,1,0.669103
ProtoNet,1,5,64,4,amazonreview_all_data,val,200,1,0.527309
ProtoNet,1,5,64,4,amazonreview_all_data,Train,300,1,0.669600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,300,1,0.709369
ProtoNet,1,5,64,4,amazonreview_all_data,val,300,1,0.546711
ProtoNet,1,5,64,4,amazonreview_all_data,Train,400,1,0.687200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,400,1,0.710299
ProtoNet,1,5,64,4,amazonreview_all_data,val,400,1,0.543522
ProtoNet,1,5,64,4,amazonreview_all_data,Train,500,1,0.712000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,500,1,0.735282
ProtoNet,1,5,64,4,amazonreview_all_data,val,500,1,0.515482
ProtoNet,1,5,64,4,amazonreview_all_data,Train,600,1,0.750000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,600,1,0.737143
ProtoNet,1,5,64,4,amazonreview_all_data,val,600,1,0.527176
ProtoNet,1,5,64,4,amazonreview_all_data,Train,700,1,0.744000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,700,1,0.768239
ProtoNet,1,5,64,4,amazonreview_all_data,val,700,1,0.504053
ProtoNet,1,5,64,4,amazonreview_all_data,Train,800,1,0.775600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,800,1,0.761196
ProtoNet,1,5,64,4,amazonreview_all_data,val,800,1,0.487841
ProtoNet,1,5,64,4,amazonreview_all_data,Train,900,1,0.763200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,900,1,0.765448
ProtoNet,1,5,64,4,amazonreview_all_data,val,900,1,0.535282
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1000,1,0.777600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1000,1,0.759601
ProtoNet,1,5,64,4,amazonreview_all_data,val,1000,1,0.547774
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1100,1,0.802000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1100,1,0.770100
ProtoNet,1,5,64,4,amazonreview_all_data,val,1100,1,0.508306
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1200,1,0.836800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1200,1,0.786977
ProtoNet,1,5,64,4,amazonreview_all_data,val,1200,1,0.486113
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1300,1,0.826800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1300,1,0.796146
ProtoNet,1,5,64,4,amazonreview_all_data,val,1300,1,0.507774
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1400,1,0.851200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1400,1,0.785249
ProtoNet,1,5,64,4,amazonreview_all_data,val,1400,1,0.533422
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1500,1,0.863200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1500,1,0.782458
ProtoNet,1,5,64,4,amazonreview_all_data,val,1500,1,0.498073
