model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview,Train,100,0,0.371200
ProtoNet,1,5,64,4,amazonreview,indomain-val,100,0,0.580199
ProtoNet,1,5,64,4,amazonreview,val,100,0,0.504319
ProtoNet,1,5,64,4,amazonreview,Train,200,0,0.692400
ProtoNet,1,5,64,4,amazonreview,indomain-val,200,0,0.654618
ProtoNet,1,5,64,4,amazonreview,val,200,0,0.485581
ProtoNet,1,5,64,4,amazonreview,Train,300,0,0.818800
ProtoNet,1,5,64,4,amazonreview,indomain-val,300,0,0.673090
ProtoNet,1,5,64,4,amazonreview,val,300,0,0.452093
ProtoNet,1,5,64,4,amazonreview,Train,400,0,0.885200
ProtoNet,1,5,64,4,amazonreview,indomain-val,400,0,0.707907
ProtoNet,1,5,64,4,amazonreview,val,400,0,0.493156
ProtoNet,1,5,64,4,amazonreview,Train,500,0,0.902400
ProtoNet,1,5,64,4,amazonreview,indomain-val,500,0,0.730498
ProtoNet,1,5,64,4,amazonreview,val,500,0,0.476678
ProtoNet,1,5,64,4,amazonreview,Train,600,0,0.934400
ProtoNet,1,5,64,4,amazonreview,indomain-val,600,0,0.720930
ProtoNet,1,5,64,4,amazonreview,val,600,0,0.455548
ProtoNet,1,5,64,4,amazonreview,Train,700,0,0.956400
ProtoNet,1,5,64,4,amazonreview,indomain-val,700,0,0.746445
ProtoNet,1,5,64,4,amazonreview,val,700,0,0.477209
ProtoNet,1,5,64,4,amazonreview,Train,800,0,0.975199
ProtoNet,1,5,64,4,amazonreview,indomain-val,800,0,0.747641
ProtoNet,1,5,64,4,amazonreview,val,800,0,0.477741
ProtoNet,1,5,64,4,amazonreview,Train,900,0,0.978799
ProtoNet,1,5,64,4,amazonreview,indomain-val,900,0,0.734751
ProtoNet,1,5,64,4,amazonreview,val,900,0,0.462591
ProtoNet,1,5,64,4,amazonreview,Train,1000,0,0.976399
ProtoNet,1,5,64,4,amazonreview,indomain-val,1000,0,0.742990
ProtoNet,1,5,64,4,amazonreview,val,1000,0,0.470033
ProtoNet,1,5,64,4,amazonreview,Train,1100,0,0.971999
ProtoNet,1,5,64,4,amazonreview,indomain-val,1100,0,0.722791
ProtoNet,1,5,64,4,amazonreview,val,1100,0,0.449302
