model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,Train,100,0,0.259600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,100,0,0.296877
ProtoNet,1,5,64,4,amazonreview_all_data,val,100,0,0.313090
ProtoNet,1,5,64,4,amazonreview_all_data,Train,200,0,0.270000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,200,0,0.315482
ProtoNet,1,5,64,4,amazonreview_all_data,val,200,0,0.306844
ProtoNet,1,5,64,4,amazonreview_all_data,Train,300,0,0.285600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,300,0,0.244651
ProtoNet,1,5,64,4,amazonreview_all_data,val,300,0,0.253953
ProtoNet,1,5,64,4,amazonreview_all_data,Train,400,0,0.246400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,400,0,0.291561
ProtoNet,1,5,64,4,amazonreview_all_data,val,400,0,0.248638
ProtoNet,1,5,64,4,amazonreview_all_data,Train,500,0,0.276000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,500,0,0.285316
ProtoNet,1,5,64,4,amazonreview_all_data,val,500,0,0.243056
ProtoNet,1,5,64,4,amazonreview_all_data,Train,600,0,0.262000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,600,0,0.285714
ProtoNet,1,5,64,4,amazonreview_all_data,val,600,0,0.243854
ProtoNet,1,5,64,4,amazonreview_all_data,Train,700,0,0.268400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,700,0,0.285183
ProtoNet,1,5,64,4,amazonreview_all_data,val,700,0,0.249302
ProtoNet,1,5,64,4,amazonreview_all_data,Train,800,0,0.263200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,800,0,0.291429
ProtoNet,1,5,64,4,amazonreview_all_data,val,800,0,0.249967
ProtoNet,1,5,64,4,amazonreview_all_data,Train,900,0,0.270000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,900,0,0.301794
ProtoNet,1,5,64,4,amazonreview_all_data,val,900,0,0.249302
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1000,0,0.254400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1000,0,0.284518
ProtoNet,1,5,64,4,amazonreview_all_data,val,1000,0,0.245183
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1100,0,0.269200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1100,0,0.284917
ProtoNet,1,5,64,4,amazonreview_all_data,val,1100,0,0.241860
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1200,0,0.284400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1200,0,0.292492
ProtoNet,1,5,64,4,amazonreview_all_data,val,1200,0,0.250897
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1300,0,0.272000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1300,0,0.290233
ProtoNet,1,5,64,4,amazonreview_all_data,val,1300,0,0.240532
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1400,0,0.266400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1400,0,0.283322
ProtoNet,1,5,64,4,amazonreview_all_data,val,1400,0,0.238272
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1500,0,0.254800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1500,0,0.284651
ProtoNet,1,5,64,4,amazonreview_all_data,val,1500,0,0.248771
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1600,0,0.242800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1600,0,0.284120
ProtoNet,1,5,64,4,amazonreview_all_data,val,1600,0,0.242525
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1700,0,0.261600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1700,0,0.283056
ProtoNet,1,5,64,4,amazonreview_all_data,val,1700,0,0.240399
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1800,0,0.273600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1800,0,0.292492
ProtoNet,1,5,64,4,amazonreview_all_data,val,1800,0,0.253023
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1900,0,0.276000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1900,0,0.281595
ProtoNet,1,5,64,4,amazonreview_all_data,val,1900,0,0.250764
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2000,0,0.249200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2000,0,0.280930
ProtoNet,1,5,64,4,amazonreview_all_data,val,2000,0,0.237342
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2100,0,0.282000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2100,0,0.285050
ProtoNet,1,5,64,4,amazonreview_all_data,val,2100,0,0.248771
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2200,0,0.270000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2200,0,0.284120
ProtoNet,1,5,64,4,amazonreview_all_data,val,2200,0,0.237209
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2300,0,0.279200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2300,0,0.276545
ProtoNet,1,5,64,4,amazonreview_all_data,val,2300,0,0.234950
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2400,0,0.278000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2400,0,0.278538
ProtoNet,1,5,64,4,amazonreview_all_data,val,2400,0,0.242525
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2500,0,0.267600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2500,0,0.280399
ProtoNet,1,5,64,4,amazonreview_all_data,val,2500,0,0.246645
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2600,0,0.261200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2600,0,0.288106
ProtoNet,1,5,64,4,amazonreview_all_data,val,2600,0,0.240266
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2700,0,0.265600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2700,0,0.286645
ProtoNet,1,5,64,4,amazonreview_all_data,val,2700,0,0.231362
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2800,0,0.260400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2800,0,0.290631
ProtoNet,1,5,64,4,amazonreview_all_data,val,2800,0,0.227508
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2900,0,0.279600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2900,0,0.285847
ProtoNet,1,5,64,4,amazonreview_all_data,val,2900,0,0.248771
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3000,0,0.259200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3000,0,0.289169
ProtoNet,1,5,64,4,amazonreview_all_data,val,3000,0,0.257674
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3100,0,0.270000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3100,0,0.286777
ProtoNet,1,5,64,4,amazonreview_all_data,val,3100,0,0.247442
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3200,0,0.274800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3200,0,0.285980
ProtoNet,1,5,64,4,amazonreview_all_data,val,3200,0,0.247973
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3300,0,0.263600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3300,0,0.289967
ProtoNet,1,5,64,4,amazonreview_all_data,val,3300,0,0.244784
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3400,0,0.270400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3400,0,0.289169
ProtoNet,1,5,64,4,amazonreview_all_data,val,3400,0,0.251163
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3500,0,0.276000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3500,0,0.281728
ProtoNet,1,5,64,4,amazonreview_all_data,val,3500,0,0.246512
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3600,0,0.269600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3600,0,0.278405
ProtoNet,1,5,64,4,amazonreview_all_data,val,3600,0,0.251163
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3700,0,0.270800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3700,0,0.288638
ProtoNet,1,5,64,4,amazonreview_all_data,val,3700,0,0.240930
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3800,0,0.265200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3800,0,0.284385
ProtoNet,1,5,64,4,amazonreview_all_data,val,3800,0,0.241993
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3900,0,0.272800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3900,0,0.295017
ProtoNet,1,5,64,4,amazonreview_all_data,val,3900,0,0.242924
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4000,0,0.249600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4000,0,0.290764
ProtoNet,1,5,64,4,amazonreview_all_data,val,4000,0,0.240399
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4100,0,0.261600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4100,0,0.235880
ProtoNet,1,5,64,4,amazonreview_all_data,val,4100,0,0.237608
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4200,0,0.219200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4200,0,0.242392
ProtoNet,1,5,64,4,amazonreview_all_data,val,4200,0,0.221927
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4300,0,0.228000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4300,0,0.246777
ProtoNet,1,5,64,4,amazonreview_all_data,val,4300,0,0.224319
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4400,0,0.212800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4400,0,0.237874
ProtoNet,1,5,64,4,amazonreview_all_data,val,4400,0,0.229502
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4500,0,0.219600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4500,0,0.247973
ProtoNet,1,5,64,4,amazonreview_all_data,val,4500,0,0.220066
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4600,0,0.210800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4600,0,0.241728
ProtoNet,1,5,64,4,amazonreview_all_data,val,4600,0,0.219269
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4700,0,0.222400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4700,0,0.234950
ProtoNet,1,5,64,4,amazonreview_all_data,val,4700,0,0.216877
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4800,0,0.223200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4800,0,0.229103
ProtoNet,1,5,64,4,amazonreview_all_data,val,4800,0,0.224319
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4900,0,0.206400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4900,0,0.225515
ProtoNet,1,5,64,4,amazonreview_all_data,val,4900,0,0.226047
ProtoNet,1,5,64,4,amazonreview_all_data,Train,5000,0,0.198800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,5000,0,0.211694
ProtoNet,1,5,64,4,amazonreview_all_data,val,5000,0,0.255282
